名称,价格（元/晚）,地址,特点,已购人数,评分,收藏,简评,评价
西安喜鹊愉家酒店,311,"[城东/西京医院/小商品批发市场]
金花北路长乐荟1层


地图",地铁周边,112,5.0?,15,棒极了,服务周到
西安临潼蓝海阳温泉酒店,145,"[兵马俑旅游区]
书院东路(华清池广场斜对面)


地图",亲子酒店,1048,4.3?,16,挺好哒,离景点近
西安金秋怡心园酒店,231,"[兵马俑旅游区]
兵马俑西侧500米路北


地图


街景",休闲度假,1104,4.6?,17,棒极了,离景点近
如家派柏·云酒店(西安火车站店),161,"[解放路万达广场/火车站]
解放路354号


地图",交通枢纽,1525,4.4?,18,挺好哒,离火车站近
西安瑞品嘉酒店,106,"[长安区]
韦曲街办西韦村青年北街43号401室


地图",浪漫情侣,128,4.9?,19,棒极了,地理位置好
金日鸿孚宾馆(西安金花路店),133,"[城东/西京医院/小商品批发市场]
金花北路173号


地图",地铁周边,217,4.4?,20,挺好哒,出行方便
滨江意境精品酒店(西安北大街地铁站店),125,"[钟鼓楼/回民街/市中心]
北大街十字东北角宏业大厦内


地图",商务出行,801,4.3?,1,挺好哒,服务态度好
南门花园精品公寓酒店(西安永宁门地铁站店),398,"[钟鼓楼/回民街/市中心]
宏信国际花园2号楼2单元9层(南门地铁口世纪金花东门正对面)


地图",地铁周边,283,4.6?,2,棒极了,交通便利
如家酒店(西安创业咖啡街区高新二路店),169,"[西安市高新技术开发区]
高新二路光德路5号


地图


街景",地铁周边,700,4.4?,4,挺好哒,出行方便
左右客设计师精品酒店(西安老钢厂店),354,"[新城区]
幸福南路109号老钢厂设计创意产业园


地图",浪漫情侣,860,4.8?,6,棒极了,设计有特色
西安凯仕堡大酒店,152,"[西安高铁站火车北站/西安市政中心]
太华北路848号


地图


街景",休闲度假,542,4.2?,8,挺好哒,交通便利
西安天佑国际酒店,283,"[莲湖区]
西二环南段12号


地图


街景",浪漫情侣,1174,4.5?,9,棒极了,出行方便
7天优品酒店(西安友谊路铁一中店),143,"[城南/李家村万达广场]
太乙路与友谊东路东南角，近地铁4号线建筑科技大学·李家村站


地图",大学周边,563,4.4?,11,挺好哒,逛街方便
格林豪泰(西安大雁塔历史博物馆快捷酒店),239,"[大雁塔/曲江旅游区]
小寨东路红小巷1号


地图


街景",地铁周边,470,4.3?,12,挺好哒,出行方便
西安唐英商务酒店,268,"[大雁塔/曲江旅游区]
后村西路绿地海珀紫庭20栋楼(雁塔北路向东200米)


地图


街景",浪漫情侣,888,4.6?,13,棒极了,离景点近
7天连锁酒店(西安火车站北大街地铁站店),115,"[钟鼓楼/回民街/市中心]
西七路六谷庄2号


地图


街景",火车站周边,1776,4.4?,15,挺好哒,离火车站近
维也纳酒店(西安东仪路店),268,"[雁塔区]
雁环中路与东仪路交汇处向西100米


地图",商务出行,516,4.9?,17,棒极了,服务态度好
如家精选酒店(西安南二环高新四路店)(原高新四路高新九号广场店),250,"[西安市高新技术开发区]
高新四路高新九号广场1号楼


地图",浪漫情侣,150,4.7?,18,棒极了,前台热情
全季酒店(西安金花路店),256,"[城东/西京医院/小商品批发市场]
金花北路95号工业大学隔壁


地图",商务出行,1126,4.8?,19,棒极了,服务态度好
西安嘉禾商务酒店,160,"[钟鼓楼/回民街/市中心]
南大街解放市场6号


地图


街景",浪漫情侣,1053,4.2?,20,挺好哒,地理位置好
西安金蒂万豪酒店,188,"[电子城/电子正街]
电子正街399号


地图


街景",商务出行,651,4.7?,1,棒极了,服务态度好
如家酒店(西安凤城二路市图书馆地铁站店),178,"[市图书馆/凤城二路]
凤城二路25号


地图


街景",商务出行,439,4.6?,4,棒极了,交通便利
中江之旅·高新商务酒店,228,"[西安市高新技术开发区]
高新二路4号(财富中心一期正后方)


地图


街景",会议酒店,1388,4.7?,5,棒极了,性价比高
柠檬酒店(西安朱雀店),256,"[钟鼓楼/回民街/市中心]
南广济街30号


地图


街景",浪漫情侣,3527,4.5?,6,棒极了,地理位置好
西安煜洋国际大酒店,185,"[兵马俑旅游区]
东二环南段(瑞麟君府斜对面)


地图


街景",商务出行,278,4.2?,7,挺好哒,性价比高
西安和平门(精品)酒店,236,"[钟鼓楼/回民街/市中心]
和平路10号,地铁四号线和平门站


地图


街景",亲子酒店,2055,4.7?,9,棒极了,离城墙近
格林豪泰西安龙首原地铁站商务酒店,164,"[北关/龙首村]
西安莲湖区北关正街路10号(龙首原地铁站B口向南200米)


地图",地铁周边,256,4.3?,10,挺好哒,离地铁站近
西安佳琦酒店,196,"[西安高铁站火车北站/西安市政中心]
凤城五路与未央路十字东北角MAX未来


地图


街景",商务出行,862,4.2?,11,挺好哒,离地铁站近
银龙酒店(西安凤城五路店),167,"[赛高街区/凤城五路]
明光路和朱宏路之间凤城五路世融嘉轩5号楼


地图


街景",商务出行,121,3.8?,12,还不错,位置优越
西安东新商务酒店,214,"[韩森寨/万寿路]
火炬路7号东开发区动漫产业平台(东二环金花路立丰国际向东150米)


地图",浪漫情侣,1802,4.4?,13,挺好哒,购物方便
梦飞翔龙酒店(西安钟楼东大街店),236,"[钟鼓楼/回民街/市中心]
东大街7号


地图


街景",浪漫情侣,1529,4.6?,15,棒极了,离城墙近
维也纳酒店(西安钟楼店),421,"[钟鼓楼/回民街/市中心]
案板街18号(距离钟楼150米)步行2分钟


地图",浪漫情侣,1802,4.8?,17,棒极了,服务态度好
西安静湖泉商务酒店,271,"[城南/小雁塔旅游区]
环城南路西段融汇大厦


地图",浪漫情侣,510,4.5?,18,棒极了,离城墙近
西安大明宫逸天酒店,289,"[大明宫万达/大明宫遗址公园]
北二环与大明宫立交西北角(大明宫遗址公园北门)


地图


街景",商务出行,1298,4.6?,20,棒极了,前台热情
云烁假日酒店(西安行政中心北客站店),233,"[西安高铁站火车北站/西安市政中心]
凤城十二路与文景路十字向北200米首创富北高银28号楼2单元


地图",商务出行,591,4.6?,3,棒极了,离高铁站近
如家酒店(西安高新区科技路地铁站店),178,"[西安市高新技术开发区]
科技路26号


地图


街景",商务出行,609,4.4?,4,挺好哒,性价比高
梦幻西西里精品主题客栈(西安钟楼回民街),213,"[钟鼓楼/回民街/市中心]
北广济街144号


地图",浪漫情侣,525,4.6?,5,棒极了,出行方便
西安水晶岛酒店,339,"[西安市高新技术开发区]
沣惠南路南段38号


地图


街景",商务出行,2000,4.5?,7,棒极了,大堂气派
华尔菲酒店(西安大明宫遗址公园店)(原大明宫万达店),245,"[市图书馆/凤城二路]
玄武路中段79号锦园世纪城(锦园小学)西侧


地图",商务出行,451,4.8?,8,棒极了,性价比高
柠檬酒店(西安文艺路店),176,"[城南/小雁塔旅游区]
文艺路甲子18号


地图",商务出行,460,4.4?,9,挺好哒,离城墙近
西安吉源国际酒店,1068,"[长安区]
西长安街555号


地图


街景",休闲度假,1657,4.7?,11,棒极了,大堂气派
西安大唐博相府酒店,693,"[大雁塔/曲江旅游区]
芙蓉东路6-1号


地图


街景",商务出行,1684,4.7?,13,棒极了,古色古香
西安百思特商务酒店,294,"[韩森寨/万寿路]
长乐东路88号


地图


街景",浪漫情侣,2250,4.6?,15,棒极了,设施齐全
君驿酒店(西安城西客运站大庆路店),136,"[城西]
大庆路西段29号


地图


街景",商务出行,345,4.2?,16,挺好哒,前台热情
西安铭力酒店,202,"[莲湖区]
大兴东路龙湖MOCO二号楼30-31层


地图


街景",商务出行,328,4.4?,17,挺好哒,性价比高
西安千叶城市酒店,188,"[未央区]
大兴西路东段东张新村


地图",浪漫情侣,433,4.6?,19,棒极了,性价比高
格林豪泰(西安大雁塔芙蓉园商务店),275,"[大雁塔/曲江旅游区]
翠华路与红专南路交汇处向南30米路西


地图",会议酒店,482,4.7?,20,棒极了,出行方便
西安景玉和悦酒店,215,"[城东/西京医院/小商品批发市场]
长缨东路233号(地铁3号线胡家庙站A口出向东500米)


地图",浪漫情侣,513,4.5?,2,棒极了,性价比高
唐古酒店(西安大雁塔大唐芙蓉园店),428,"[大雁塔/曲江旅游区]
雁南一路与慈恩东路交汇往南路东曼蒂广场D


地图


街景",商务出行,877,4.6?,3,棒极了,离景点近
长安客精品酒店(西安西稍门机场大巴店),195,"[城西]
丰登北路29号


地图


街景",浪漫情侣,724,4.4?,4,挺好哒,设计有特色
汉庭优佳酒店(西安土门店),203,"[城西]
沣镐东路42号天和长大厦(西二环华润万家超市向南20米)


地图


街景",商务出行,157,5.0?,5,棒极了,服务周到
之茂酒店(西安钟鼓楼回民街洒金桥地铁站店),227,"[钟鼓楼/回民街/市中心]
习武园1号


地图


街景",亲子酒店,2185,4.5?,6,棒极了,性价比高
西安铂金丽宫酒店,136,"[市图书馆/凤城二路]
北二环未央立交桥东南角市政馨苑6号楼


地图",浪漫情侣,337,4.2?,7,挺好哒,服务态度好
富都酒店(西安曲江大雁塔会展中心店),316,"[电视塔/国展中心]
丈八东路5号


地图


街景",会议酒店,368,4.8?,8,棒极了,出行方便
摩玛水晶酒店(西安阿房宫店),132,"[未央区]
和平工业园区伯乐城市广场(红光路9号)


地图


街景",商务出行,591,3.9?,10,还不错,服务态度好
如家酒店(西安长乐东路万寿路地铁站店),165,"[韩森寨/万寿路]
长乐东路86号


地图",商务出行,389,4.6?,12,棒极了,性价比高
西安名典酒店,164,"[钟鼓楼/回民街/市中心]
振兴路1号(市中心地区)


地图


街景",浪漫情侣,809,4.5?,13,棒极了,离城墙近
西安三都澳酒店,125,"[城东/交通大学]
长缨东路85号(电力医院东邻)


地图",浪漫情侣,322,4.1?,14,挺好哒,性价比高
警苑饭店知北楼(西安钟楼回民街店)(原西安警苑饭店知北楼),662,"[钟鼓楼/回民街/市中心]
青年二巷3号


地图",商务出行,362,4.8?,15,棒极了,服务态度好
IU酒店(西安西高新丈八北路地铁站店),255,"[西安市高新技术开发区]
唐兴路19号都市春天


地图",商务出行,399,4.8?,20,棒极了,设施设备好
西安欣源勇卿大酒店,188,"[兵马俑旅游区]
银桥大道5号(临潼东三岔交警大队对面)


地图


街景",浪漫情侣,525,4.4?,1,挺好哒,性价比高
维也纳酒店(西安万象城三桥地铁站店),187,"[未央区]
三桥新街与天台路交汇处华润万象城D座


地图",地铁周边,28,5.0?,2,棒极了,吃饭方便
西安海石花连锁酒店(凤城六路店),169,"[西安高铁站火车北站/西安市政中心]
凤城六路 紧邻地铁口


地图",浪漫情侣,107,4.9?,3,棒极了,服务态度好
西安品致概念酒店,223,"[市图书馆/凤城二路]
二环北路东段958号北二环中段明珠家居西侧


地图",浪漫情侣,163,4.9?,5,棒极了,服务态度好
西安炫彩商务酒店,142,"[城东/西京医院/小商品批发市场]
长乐西路180号


地图",地铁周边,204,2.6?,6,一般般,地理位置好
西安秦道商务酒店,191,"[钟鼓楼/回民街/市中心]
西大街南广济街100号


地图",商务出行,781,3.9?,7,还不错,出行方便
龙溪酒店(西安明城墙南门店),159,"[钟鼓楼/回民街/市中心]
南门外振兴路136号


地图


街景",商务出行,1071,4.5?,8,棒极了,离城墙近
速8酒店(西安和平门店),148,"[城南/李家村万达广场]
和平门外雁塔北路67号(华润万家广场内)


地图


街景",浪漫情侣,1128,4.4?,9,挺好哒,出行方便
西安盛元商务酒店,136,"[大明宫万达/大明宫遗址公园]
北二环凤城一路锦园君逸6-8号楼


地图


街景",商务出行,325,4.3?,10,挺好哒,服务态度好
国匠文化酒店(西安钟鼓楼回民街儿童医院店)(原厚水唐品酒店),216,"[钟鼓楼/回民街/市中心]
西大街西梆子市街18号


地图


街景",浪漫情侣,226,4.6?,11,棒极了,性价比高
西安博利雅酒店,159,"[钟鼓楼/回民街/市中心]
北大街1号宏府嘉会广场C座1楼(中医医院往南100米)


地图",地铁周边,2209,4.4?,14,挺好哒,地理位置好
西安欣源国际公寓,364,"[未央区]
浐灞大道1366号欣源里·生活广场8楼-10楼


地图",商务出行,100,4.9?,16,棒极了,设施齐全
西安金瑞大酒店,117,"[钟鼓楼/回民街/市中心]
环城北路81号


地图


街景",商务出行,126,3.4?,17,一般般,离火车站近
西安华坤时尚酒店,241,"[大明宫万达/大明宫遗址公园]
未央路雅荷花园C座(雅荷花园天桥旁边)


地图",地铁周边,36,4.9?,18,棒极了,地理位置好
如家酒店(西安西部大道阳光城店),229,"[高新管委会/绿地会展中心]
高新区阳光天地24号楼


地图


街景",商务出行,130,4.6?,19,棒极了,出行方便
西安星河湾酒店,568,"[未央区]
西咸新区秦汉新城兰池大道中段


地图",休闲度假,145,4.9?,1,棒极了,服务周到
西安5豪酒店,296,"[未央区]
霸柳西路浐灞半岛A13区1号楼近灞柳西路


地图",浪漫情侣,58,5.0?,2,棒极了,服务态度好
维也纳酒店(西安丝路国际会展中心店),296,"[浐灞/港务区]
国际港务区港务南路华南城A区2栋(西安地铁3号线国际港务区站B2口)


地图",地铁周边,25,4.9?,6,棒极了,吃饭方便
速8酒店(西安灞桥店),135,"[唐都医院/城东客运站]
华清东路灞桥火车站811号


地图",商务出行,118,3.7?,9,还不错,服务态度好
西蓝岛主题客栈(西安北大街地铁站店),263,"[钟鼓楼/回民街/市中心]
大莲花池街莲湖巷5号


地图",浪漫情侣,169,5.0?,10,棒极了,出行方便
华东酒店(西安龙首原地铁口店),163,"[北关/龙首村]
龙首村商业街南排12号


地图",地铁周边,126,4.4?,11,挺好哒,空气清新
汇锦商务酒店(西安城北客运站店)(原图书馆地铁站凤城一路店),224,"[市图书馆/凤城二路]
凤城一路19号凤城一号大厦


地图


街景",商务出行,395,4.3?,12,挺好哒,性价比高
西安赛瑞喜来登大酒店,505,"[北关/龙首村]
未央路32号(地铁二号线龙首原站B出口)


地图


街景",浪漫情侣,4653,4.6?,13,棒极了,交通便利
西安豪享来温德姆至尊酒店,719,"[大雁塔/曲江旅游区]
慈恩东路208号


地图


街景",浪漫情侣,5463,4.8?,14,棒极了,地理位置好
西安威斯汀大酒店,858,"[大雁塔/曲江旅游区]
慈恩路66号


地图


街景",浪漫情侣,3517,4.6?,15,棒极了,私密性好
西安金花大酒店,327,"[城东/西京医院/小商品批发市场]
长乐西路8号


地图


街景",休闲度假,4237,4.6?,16,棒极了,性价比高
西安W酒店,1399,"[大雁塔/曲江旅游区]
曲江池东路333号，毗邻曲江池遗址公园


地图",浪漫情侣,677,4.9?,17,棒极了,湖景美
西安爵怡温德姆酒店,395,"[城东/西京医院/小商品批发市场]
互助路9号


地图",浪漫情侣,806,4.7?,18,棒极了,设计有特色
西安新兴温德姆酒店,333,"[城东/西京医院/小商品批发市场]
金花北路189号


地图


街景",浪漫情侣,4232,4.6?,19,棒极了,性价比高
西安开元名都大酒店,468,"[城南/李家村万达广场]
友谊东路333号


地图",浪漫情侣,2823,4.8?,20,棒极了,性价比高
西安曲江国际饭店,497,"[大雁塔/曲江旅游区]
西影路46号


地图


街景",浪漫情侣,5525,4.8?,1,棒极了,大堂气派
西安印力诺富特酒店,482,"[北关/龙首村]
未央路33号(地铁2号线龙首原D出口)


地图",浪漫情侣,3200,4.8?,2,棒极了,购物方便
西安咸阳国际机场空港大酒店,800,"[咸阳国际机场]
西安咸阳国际机场T3航站楼出发大厅322门内向西50米


地图


街景",浪漫情侣,4187,4.8?,3,棒极了,服务态度好
西安艾思丽睡眠酒店,160,"[城南/李家村万达广场]
和平门外500米雁塔路北段66号


地图",浪漫情侣,1004,4.4?,4,挺好哒,出行方便
西安大雁塔欧凯罗精品文化国际酒店,359,"[大雁塔/曲江旅游区]
雁南一路15号


地图


街景",浪漫情侣,3209,4.6?,5,棒极了,地理位置好
西安加利利连锁酒店凤城二路市图书馆地铁站店,145,"[市图书馆/凤城二路]
凤城二路16号(市图书馆斜对面)


地图


街景",商务出行,2604,4.3?,6,挺好哒,离地铁站近
空港商务酒店(西安机场巴士始发站西稍门店)(原西稍门店机场巴士始发站店),218,"[西稍门/机场大巴站]
劳动南路207号


地图


街景",浪漫情侣,5415,4.4?,7,挺好哒,交通便利
西安吉莫半岛酒店,287,"[城西]
土门坊20号市民中心东侧


地图",商务出行,81,4.8?,8,棒极了,性价比高
西安银河宾馆,96,"[赛高街区/凤城五路]
未央路与凤城五路十字东北角银池品智天下A座1507室


地图",地铁周边,78,4.3?,9,挺好哒,出行方便
西安钟楼驿站酒店公寓,188,"[钟鼓楼/回民街/市中心]
西华门十字北大街宏府嘉会公寓A座13楼13051室


地图


街景",商务出行,2019,4.9?,10,棒极了,设施齐全
西安铂菲朗致美酒店,344,"[西安高铁站火车北站/西安市政中心]
明光路长和国际D座7-11楼


地图",休闲度假,88,4.9?,11,棒极了,出行方便
西安香格里拉大酒店,909,"[西安市高新技术开发区]
科技路38号乙


地图",浪漫情侣,2210,4.7?,12,棒极了,大堂气派
西安故乡沃顿酒店,213,"[城东/交通大学]
互助路16号中段


地图


街景",会议酒店,983,4.2?,14,挺好哒,性价比高
西安金花豪生国际大酒店,406,"[钟鼓楼/回民街/市中心]
环城南路西段18号(地铁2号线永宁门站，A口出步行2分钟)


地图


街景",浪漫情侣,2969,4.4?,15,挺好哒,离城墙近
大唐乐和主题酒店(西安大雁塔赛格机场大巴店),223,"[大雁塔/曲江旅游区]
西安南二环绿地乐和城3号楼(地铁4号线西安科技大学站C出口)


地图


街景",浪漫情侣,1320,4.4?,16,挺好哒,出行方便
西安空港快捷酒店,127,"[西稍门/机场大巴站]
西稍门西关机场东门


地图


街景",商务出行,801,4.4?,17,挺好哒,去机场方便
西安皇冠假日酒店,875,"[小寨/历史博物馆]
朱雀路中段1号


地图",浪漫情侣,1931,4.7?,18,棒极了,大堂气派
空港快捷酒店(西安咸阳国际机场店),267,"[咸阳国际机场]
咸阳国际机场空港大道6号


地图


街景",浪漫情侣,2700,4.0?,19,挺好哒,转机方便
西安秦都酒店,155,"[钟鼓楼/回民街/市中心]
环城西路北段55号


地图


街景",商务出行,984,4.1?,1,挺好哒,出行方便
西安C.Family青年旅社(原美家青年旅舍),24,"[钟鼓楼/回民街/市中心]
北大街274号北宁坊小区1号楼1单元602


地图",地铁周边,75,5.0?,2,棒极了,老板热情
西安秋林大酒店,183,"[城南/李家村万达广场]
雁塔路北段58号


地图",商务出行,771,4.3?,3,挺好哒,购物方便
西安奥星酒店,96,"[北关/龙首村]
龙首北路西段42号


地图


街景",会议酒店,130,4.4?,4,挺好哒,交通便利
布丁酒店(西安火车站西店),100,"[钟鼓楼/回民街/市中心]
西八路100号


地图


街景",交通枢纽,1406,4.0?,5,挺好哒,离火车站近
加利利连锁酒店(西安比亚迪阳光天地绿地笔克会展中心店),129,"[高新管委会/绿地会展中心]
锦业三路西口恭张村综合楼西三环比亚迪斜对面(法士特家属院南面)


地图


街景",商务出行,963,4.7?,6,棒极了,服务态度好
西安阳光城希尔顿花园酒店,544,"[高新管委会/绿地会展中心]
博士路60号


地图",浪漫情侣,1810,4.8?,10,棒极了,服务周到
西安万豪行政公寓,739,"[西安市高新技术开发区]
高新四路16号，近地铁三号线延平门站


地图",亲子酒店,517,4.9?,11,棒极了,设施齐全
润佳连锁酒店(西安武警医院交通大学南门店),136,"[城东/交通大学]
经九路三号化工六院南门(武警医院对面)


地图


街景",商务出行,2098,4.5?,12,棒极了,性价比高
西安颐和宫大酒店,308,"[城南/太白立交]
含光南路3号(地铁三号线200米，门口机场大巴停靠点)


地图


街景",浪漫情侣,2709,4.3?,13,挺好哒,性价比高
西安芙蓉坊酒店,287,"[大雁塔/曲江旅游区]
曲江雁南一路


地图


街景",休闲度假,1435,4.2?,14,挺好哒,离景点近
西安大唐芙蓉园亚朵酒店,299,"[大雁塔/曲江旅游区]
芙蓉西路中段106号路东


地图


街景",浪漫情侣,4802,4.8?,15,棒极了,离景点近
富海明都酒店(西安明城墙南门店),236,"[钟鼓楼/回民街/市中心]
文昌门外文艺北路228号


地图",浪漫情侣,2125,4.6?,17,棒极了,离城墙近
速8酒店(西安高铁北站店),233,"[西安高铁站火车北站/西安市政中心]
草滩街道长乐东苑D区4栋2层


地图",浪漫情侣,415,4.5?,18,棒极了,离北站近
陕西广电宾馆(钟楼北大街地铁站店),134,"[钟鼓楼/回民街/市中心]
北大街光辉巷32号


地图",交通枢纽,867,4.5?,19,棒极了,出行方便
速8酒店(西安火车站店),133,"[解放路万达广场/火车站]
解放路东七路


地图


街景",商务出行,2358,4.3?,20,挺好哒,离火车站近
尚俭西港·太空舱酒店(西安机场店),66,"[咸阳国际机场]
西安咸阳国际机场T2航站楼东南侧500米


地图",机场周边,1323,4.2?,1,挺好哒,转机方便
西安故乡郎庭商务酒店,133,"[城西]
自强西路198号


地图


街景",商务出行,251,4.1?,2,挺好哒,性价比高
都市118(西安大明宫龙首原地铁站店)(原龙首原店),155,"[北关/龙首村]
未央路与龙首北路相交处十字西北角


地图


街景",购物便捷,1163,4.3?,5,挺好哒,离地铁站近
西安永阳坊艺术酒店,269,"[电子城/电子正街]
高新区太白南路与丈八东路十字西北角15-23层


地图


街景",浪漫情侣,1427,4.5?,6,棒极了,服务态度好
布丁酒店(西安钟鼓楼北大街交大附属二院店),110,"[钟鼓楼/回民街/市中心]
北新街28号(省妇幼斜对面)


地图",火车站周边,728,4.5?,7,棒极了,服务态度好
西安蓝海风万怡酒店,525,"[市图书馆/凤城二路]
凤城二路37号


地图",商务出行,341,4.8?,8,棒极了,服务周到
西安万谛美途酒店,285,"[大雁塔/曲江旅游区]
文艺南路39号


地图",商务出行,112,4.3?,9,挺好哒,性价比高
西安塞纳河艺术酒店,208,"[钟鼓楼/回民街/市中心]
南大街17号


地图


街景",浪漫情侣,834,4.3?,10,挺好哒,地理位置好
西安众邦二月二商务酒店,233,"[西安市高新技术开发区]
光华路81号


地图


街景",商务出行,758,4.2?,11,挺好哒,性价比高
西安盛捷新地城服务公寓,573,"[小寨/历史博物馆]
南二环西段64号


地图",浪漫情侣,865,4.7?,13,棒极了,设施齐全
麗枫酒店(西安北大明宫万达余家寨地铁站店),260,"[市图书馆/凤城二路]
太华北路华远锦悦4号楼


地图",商务出行,269,4.9?,14,棒极了,吃饭方便
西安国联友好阁大酒店,164,"[大雁塔/曲江旅游区]
西安市雁塔区翠华北路389号(省历史博物馆向北走200米路东，翠华路小学北隔壁)


地图",大学周边,143,3.8?,15,还不错,性价比高
西安乐途美家精品酒店,620,"[城南/小雁塔旅游区]
小寨西路momopark公寓5号楼10楼1012室(近地铁3号线吉祥村站D号口，肯德基)


地图",地铁周边,257,5.0?,16,棒极了,吃喝玩乐方便
怡莱酒店(西安曲江国际会展中心店),227,"[大雁塔/曲江旅游区]
长延堡276号长延堡购物广场


地图",地铁周边,293,4.8?,17,棒极了,服务态度好
莫泰(西安火车站机场巴士店),151,"[解放路万达广场/火车站]
解放路五路口东北角民安大厦


地图


街景",商务出行,1621,4.7?,18,棒极了,离火车站近
西安嘉华商务酒店(长安店),171,"[长安区]
北长安街224号


地图


街景",地铁周边,683,4.4?,19,挺好哒,离地铁站近
西安雅致东方酒店,298,"[兵马俑旅游区]
凤凰大道6号(北京大学院内)


地图",亲子酒店,2784,4.7?,20,棒极了,离温泉近
喆啡酒店(西安临潼兵马俑华清池景区店),178,"[兵马俑旅游区]
群星莱骊二期西南门9号楼芷阳湖路口对面


地图",商务出行,965,4.8?,1,棒极了,服务态度好
西安户县长虹酒店,164,"[户县]
娄敬路139号(长虹十字东北角)


地图",会议酒店,683,4.4?,2,挺好哒,地理位置好
布丁酒店(西安高新路糜家桥机场大巴店),124,"[西安市高新技术开发区]
高新路26号(糜家桥小区对面)


地图",交通枢纽,746,4.0?,3,挺好哒,服务周到
西安钟楼薇艾精品公寓酒店,189,"[钟鼓楼/回民街/市中心]
北大街宏府嘉会广场B座9034


地图",地铁周边,1113,4.9?,4,棒极了,位置优越
西安亚都酒店,323,"[电视塔/国展中心]
长安南路86号澳城大厦


地图",商务出行,1042,4.6?,5,棒极了,性价比高
西安中飞·格兰云天大酒店,476,"[阎良区]
凌云路1号


地图",商务出行,519,4.5?,7,棒极了,餐饮不错
西安壹间酒店,157,"[未央区]
三桥新街华润万象城D座8楼


地图",商务出行,105,4.6?,8,棒极了,床品舒适
星程酒店(西安高新区店),265,"[西安市高新技术开发区]
高新科技五路3号、橡树星座C座


地图


街景",商务出行,605,4.5?,9,棒极了,性价比高
希岸·宫酒店(西安南门店),293,"[城南/小雁塔旅游区]
环城南路330号


地图",休闲度假,618,4.9?,10,棒极了,夜景美
华富盛悦酒店(西安历史博物馆店),166,"[城南/小雁塔旅游区]
文艺南路副22号


地图


街景",浪漫情侣,295,4.9?,11,棒极了,性价比高
西安大唐芙蓉园芳林苑酒店,476,"[大雁塔/曲江旅游区]
曲江新区芙蓉西路99号大唐芙蓉园东门


地图


街景",浪漫情侣,1539,4.5?,12,棒极了,夜景美
西安云朵假日酒店,133,"[西安高铁站火车北站/西安市政中心]
渭滨路49号(中国工商银行斜对面)


地图",商务出行,389,4.7?,13,棒极了,性价比高
西安悦莅酒店,255,"[市图书馆/凤城二路]
经开区凤城四路国际企业中心B座9层(距世纪金花300米，近凤城五路地铁站B口)


地图",商务出行,65,5.0?,15,棒极了,离地铁站近
如家精选酒店(西安钟鼓楼粉巷店),303,"[钟鼓楼/回民街/市中心]
南大街粉巷18号(华润万家超市隔壁4楼)


地图


街景",浪漫情侣,481,4.8?,18,棒极了,出行方便
西安钟楼回民街孙家大院精品客栈,238,"[钟鼓楼/回民街/市中心]
西安莲湖区回民街化觉巷242号清真大寺旁


地图",设计师酒店,353,4.6?,19,棒极了,地理位置好
西安上隐高级酒店公寓,282,"[西安市高新技术开发区]
太白南路上上国际大厦17楼


地图",地铁周边,282,4.9?,20,棒极了,离地铁站近
陕西奥罗国际大酒店,323,"[钟鼓楼/回民街/市中心]
南新街30号


地图


街景",浪漫情侣,2602,4.4?,1,挺好哒,地理位置好
喆·啡酒店(西安市政府机场高铁北客站店),246,"[西安高铁站火车北站/西安市政中心]
凤城八路与文景路十字东南角风景御园17号楼1单元(市政府对面)


地图


街景",亲子酒店,2500,4.6?,2,棒极了,离高铁站近
桔子酒店·精选(西安高新路店),294,"[西安市高新技术开发区]
高新路51号(地铁三号线科技路站c出口向南50米)


地图",商务出行,2248,4.9?,3,棒极了,贴心服务
西安索菲特人民大厦,695,"[钟鼓楼/回民街/市中心]
东新街319号


地图


街景",浪漫情侣,2706,4.6?,4,棒极了,地理位置好
西安广成大酒店,389,"[西稍门/机场大巴站]
劳动南路中段


地图


街景",浪漫情侣,3698,4.6?,5,棒极了,性价比高
格子时光酒店(西安火车站五路口店),85,"[解放路万达广场/火车站]
东五路87号三楼


地图",地铁周边,95,4.2?,6,挺好哒,老板热情
咸阳航都宾馆,74,"[咸阳国际机场]
西咸新区空港新城北杜街办边方村B区3排东二户


地图


街景",机场周边,210,4.8?,7,棒极了,转机方便
西安花枝恋主题酒店,261,"[高新管委会/绿地会展中心]
博士路与西部大道十字西南角阳光天地23号楼


地图",浪漫情侣,190,4.9?,8,棒极了,风景优美
西安唯一生态主题酒店,179,"[灞桥区]
浐灞生态区酒十路与米秦路十字西南角巴黎大厦


地图",浪漫情侣,181,4.3?,9,挺好哒,环境优雅
宜必思酒店(西安曲江会展中心地铁站店),256,"[大雁塔/曲江旅游区]
长安南路187号宏泰大厦


地图",地铁周边,137,4.8?,10,棒极了,离地铁站近
汉庭酒店(西安凤城南路店),150,"[北关/龙首村]
凤城南路9号(西北有色向西)


地图


街景",地铁周边,361,4.5?,11,棒极了,离地铁站近
西安华清御汤酒店,1866,"[兵马俑旅游区]
华清路038号


地图",浪漫情侣,2927,4.9?,12,棒极了,温泉不错
西安皇后大酒店,329,"[城东/西京医院/小商品批发市场]
兴庆路45号


地图


街景",浪漫情侣,2199,4.3?,14,挺好哒,出行方便
西安艾斯丁酒店,166,"[兵马俑旅游区]
东二环瑞麟大街111号，中国石油加油站对面


地图",商务出行,287,4.9?,15,棒极了,离景点近
